Ulasan_Mentah;processed_text;hasil_validator
Pelayanannya cekatan dan ramah;pelayananya cekat dan ramah;positive
Menarik;tarik;neutral
Tempat luas & pegawainya ramah jelasinnya;tempat luas pegawai ramah jelas;positive
Layanan cepat....;layan cepat;positive
Pelayanannya lama banget, sampe capek nunggu, padahal sepi, banyak pegawai yang nganggur juga.. Jual hape tapi barangnya masih ngambil dulu soalnya ga tersedia.. Parah sih;pelayananya lama banget sampai capek nungu padahal sepi banyak pegawai yang ngangur juga jual hape tapi barang masih ngambil dulu soal enggak sedia parah sih;negative
Terima kasih Tiga Putra;terima kasih tiga putra;positive
Pelayanan okee banget lumayan lengkap sih harga sesuai pasaran lah..;layan okee banget lumayan lengkap sih harga sesuai pasar lah;positive
Tempat terbaik dan termurah untuk segala merk smartphone.;tempat baik dan murah untuk segala merk smartphone;positive
Ruwet nguruse;ruwet nguruse;negative
Quite good;quite good;positive
Exclusive varian ponsel cukup lengkap, pelayanan standaed, harga cenderung tinggi, untuk dapat garansi toko harus bayar extra;exclusive varian ponsel cukup lengkap layan standaed harga cenderung tingi untuk dapat garansi toko harus bayar extra;positive
Pelayanan memuaskan, sabar2 pegawainya;layan muas sabar pegawai;positive
The salespersons truly understand the product knowledge of every products sold there.;the salespersons truly understand the product knowledge of every products sold there;neutral
Saya datang niat beli redmi note 7 ram 4, kemudian saya diarahkan spg nya buat beli oppo A7. Awalnya saya tetep mau cari redmi, tapi spg nya terlalu melebih2kan kualitas oppoa7 dibanding redmi. Saya terpancing jadi beli beli oppo a7. Akhirnya saya sampai rumah nyesel setelah lihat perbandingan reviewnya. Mana buat game ga enak, performanya kalah sama redmi s2 yg harganya sejutaan. Tolong spg nya kalau bohong jangan berlebihan agar produknya laku. Kasian orang desa kaya saya mudah terpengaruh :';saya datang niat beli redmi note ram kemudian saya arah spg nya buat beli opo awal saya tetap mau cari redmi tapi spg nya terlalu lebih kan kualitas opoa banding redmi saya pancing jadi beli beli opo akhir saya sampai rumah sesal telah lihat banding reviewnya mana buat game enggak enak performa kalah sama redmi si yang harga juta tolong spg nya kalau bohong jangan lebih agar produk laku kasihan orang desa kayak saya mudah pengaruh;negative
Itu pegawainya sales oppo ya? Ketika niatnya beli hp selain oppo tapi malah diarahin ke oppo terus dan ketika memutuskan beli selain oppo pelayanannya langsung gak enak banget.;itu pegawai sales opo ya ketika niat beli hp selain opo tapi malah diarahin ke opo terus dan ketika putus beli selain opo pelayananya langsung enggak enak banget;negative
Pelayanan sih bagus, lengkap banyak pilihan. Pada saat sudah ada pembelian dan mau cek fisik hape, gak ada meja en kursi.. kebanyakan sales mungkin ya..kita cust mau duduk bingung..semuanya didudukin salesnya, pada main hape semua..akhirnya diarahkan duduk di area kasir deh..;layan sih bagus lengkap banyak pilih pada saat sudah ada beli dan mau cek fisik hape enggak ada meja en kursi banyak sales mungkin ya kita cust mau duduk bingung semua didudukin salesnya pada main hape semua akhir arah duduk di area kasir deh;negative
Very intersting;very intersting;neutral
Udah 7x beli hp disini, gk pernah kecewa. Harga bersaing dengan meteor dan indocell;sudah kali beli hp sini enggak pernah kecewa harga saing dengan meteor dan indocel;positive
Ownernya ramah, murah lagi;ownernya ramah murah lagi;neutral
Tempatnya nyaman, pelayanan nya sangat baik, staff nya ramah dan sangat membantu;tempat nyaman layan nya sangat baik staf nya ramah dan sangat bantu;positive
Pelayanannya good;pelayananya good;positive
Ruangan sedikit panas/pengap karena ac kurang dingin, kusus hp, tapi assesori nya tidak lengkap, lokasi di premium bisnis....dekat mog;ruang sedikit panas pengap karena ac kurang dingin sus hp tapi asesori nya tidak lengkap lokasi di premium bisnis dekat mog;negative
Hg;hg;neutral
Layanan yg bagus...sip;layan yang bagus sip;positive
Tempat langganan beli gadget hp...;tempat langanan beli gadget hp;neutral
Toko hp yg cukup lengkap, pegawai ramah & helpful;toko hp yang cukup lengkap pegawai ramah helpful;positive
mau cari HP, dan accecories nya juga tersedia disini,,, agak mahal dikit memang, tapi dia berani kasih garansi toko selama 1 bulan kalau rusak ganti baru. bikin tenang juga sih, segala macam merek ada disini semua, stok juga cepet habis, buruan beli deh mending.;mau cari hp dan acecories nya juga sedia sini agak mahal dikit memang tapi dia berani kasih garansi toko lama bulan kalau rusak ganti baru bikin tenang juga sih segala macam merek ada sini semua stok juga cepat habis buru beli deh mending;negative
Hartono Electronic;hartono electronic;neutral
The staffs have a great product knowledge on the stuff their selling;the stafs have great product knowledge on the stuf their seling;positive
Lengkap, banyak diskon dan promo. Recomended Lah;lengkap banyak diskon dan promo recomended lah;positive
Murah berkualitas;murah kualitas;positive
Tiga putra yang di sini tempatnya luas, ada display produk dari berbagai brand yang bisa dicoba, jadi ya sepertinya sudah standar dari gerai hp besar sekarang ini lah. Kalau harga saya rasa lumayan kompetitif ya, bisa lebih murah, bisa lebih mahal dari toko lain, tp bedanya pun gak jauh, kecuali dibandingkan toko franchise macam erafone dan lain-lain.;tiga putra yang di sini tempat luas ada display produk dari bagai brand yang bisa coba jadi ya seperti sudah standar dari gerai hp besar sekarang ini lah kalau harga saya rasa lumayan kompetitif ya bisa lebih murah bisa lebih mahal dari toko lain tapi beda pun enggak jauh kecuali banding toko franchise macam erafone dan lain lain;positive
Pilihannya banyak, pelayanan bagus..;pilihanya banyak layan bagus;positive
Mahal dan kurang lengkap HP nya;mahal dan kurang lengkap hp nya;negative
Stock for phone really not recomended btw. Good service and a lots of parking area.;stock for phone realy not recomended btw good service and lots of parking area;positive
Ramah pelayanan, lengkap untuk beli hp;ramah layan lengkap untuk beli hp;positive
: complete handphone store, also good price..;complete handphone store also good price;positive
nice place to buy phones, friendly sales, not overpriced. there are some smartphone accesories too;nice place tapi buy phones friendly sales not overpriced there are some smartphone acesories too;positive
Tempatnya nyaman, pelayanannya ramah, dan harga terjangkau;tempat nyaman pelayananya ramah dan harga jangkau;positive
Tempat mewah, karyawan baik2;tempat mewah karyawan baik;neutral
Cari cari hp terbaru lumayan lengkap;cari cari hp baru lumayan lengkap;positive
The first thing I love from this place is the clerks. They are very informative, responsive, and polite. I like to spend my time just for discussing the product they sell. This place has various promo as well. I can find most of the gadgets I want to know here. This is the first place I visited when I need to get information about gadgets or when I accompany my friends to buy their gadget. The parking space is spacious. And there is no charge for the parking.;the first thing love from this place is the clerks they are very informative responsive and polite like tapi spend my time just for discusing the product they sel this place has various promo as wel can find most of the gadgets want tapi know here this is the first place visited when need tapi get information about gadgets orang when acompany my friends tapi buy their gadget the parking space is spacious and there is no charge for the parking;positive
Mahaaaal....;mahal;negative
recomendasi untuk anda;recomendasi untuk anda;positive
Lumayan humble;lumayan humble;neutral
Lengkap sekali hpnya;lengkap sekali hpnya;positive
Harganya lebih murah untuk tipe tertentu. Pelayanannya juga memuaskan. Kami lbh memilih beli offline langsung ke toko, spy bisa pegang barang dan diskusi ttg kekurangan dan kelebihan tiap produk.;harga lebih murah untuk tipe tentu pelayananya juga muas kami lebih pilih beli ofline langsung ke toko supaya bisa pegang barang dan diskusi tg kurang dan lebih tiap produk;positive
Karyawannya baek2 ramah2, ngejelasinnya enak, dan ga maksa hehe;karyawanya baik ramah ngejelasinya enak dan enggak maksa hehe;neutral
Harga dan pelayanan lumayan;harga dan layan lumayan;positive
Besar dibandingkan yg di gajah Mada...;besar banding yang di gajah mada;positive
Produk hp lengkap. Sayang pegawai nya agak kurang asik;produk hp lengkap sayang pegawai nya agak kurang asik;neutral
Cukup bayar Rp.0 anda bisa bawa hp idaman..bekerja sama dg spektra..;cukup bayar rp anda bisa bawa hp idam kerja sama dengan spektra;positive
Antar temen cari hp;antar teman cari hp;neutral
Tempat nyaman, bersih, dingin, pelayanan juga bagus layak dapat bintang 5;tempat nyaman bersih dingin layan juga bagus layak dapat bintang;positive
Kalau perlu hp baru ya kesini aja jaminan mutu dan pelayanan baik, harga nya ya wajar lah;kalau perlu hp baru ya kesini saja jamin mutu dan layan baik harga nya ya wajar lah;positive
It has wide space parking lot and low price;itu has wide space parking lot and low price;positive
Tempat cari smartphone dan aksesorisnya;tempat cari smartphone dan aksesorisnya;positive
Ramai terjangkau, recommended;ramai jangkau recomended;positive
Pelayanan masih kurang cepay;layan masih kurang cepay;negative
Tempat mudah dijangkau. Parkir luas. Banyak pilihan gadget dr harga murah sampai mahal.;tempat mudah jangkau parkir luas banyak pilih gadget dari harga murah sampai mahal;positive
Salah satu toko Handphone besar di kota malang. Hampir semua type handphone tersedia di tempat ini. Menyediakan juga accesories Handphone dan power bank berkualitas. Pembelian Handphone bisa tunai maupun kredit. Kredit dilayani HCI, Megazip dan AEON. Pelayanan sangat bagus dan ramah. Recomended buat yang mau ganti handphone..;salah satu toko handphone besar di kota malang hampir semua type handphone sedia di tempat ini sedia juga acesories handphone dan power bank kualitas beli handphone bisa tunai maupun kredit kredit layan hci megazip dan aeon layan sangat bagus dan ramah recomended buat yang mau ganti handphone;positive
Pernah ngater temen beli hp disini. Mbak2 nya jelasin speksifikasi hp nya masih ragu-ragu gitu. Padahal dari awal temenku udah browsing itu hp Nokia 5 ada finger print nya, tapi mbak nya bilang nggak ada dan masih nanya temen di sebelah nya, di brosur sudah ada tulisan nya. Terus kalo kayak gini gimana mau nawarin hp ke costumer kalo spek hp nya aja nggak tau. Terus pas waktu unboxing itu hp mas-mas jelasin nya cuma isi hp ini itu ya kita tau lah, nggak jelasin gimana ini pemakaian pertama ngecasnya berapa jam nanti. Dan temennya dia dibelakang tanya bagian belakang hp itu finger print bukan, mas nya jawab nggak tau. Spontan dong temen ku jawab itu finger print e di depan, di tombol home. Dan mas e malah bercanda sama mbak2 disebelah seakan nggak merhatiin kita di depannya. Untung hp udah di duit in duluan. Saran deh buat mas mbak SPG nya di tambah lagi pengetahuan e hp yang mau di jual ke custumernya. Padahal tempatnya udah nyaman, nggak parkir pula.;pernah ngater teman beli hp sini mbak nya jelasin speksifikasi hp nya masih ragu ragu begitu padahal dari awal temenku sudah browsing itu hp nokia ada finger print nya tapi mbak nya bilang enggak ada dan masih tanya teman di belah nya di brosur sudah ada tulis nya terus kalo kayak begini bagaimana mau tawar hp ke costumer kalo spek hp nya saja enggak tau terus pas waktu unboxing itu hp mas mas jelasin nya cuma isi hp ini itu ya kita tau lah enggak jelasin bagaimana ini pakai pertama ngecasnya berapa jam nanti dan temenya dia belakang tanya bagi belakang hp itu finger print bukan mas nya jawab enggak tau spontan dong teman ku jawab itu finger print di depan di tombol home dan mas malah canda sama mbak belah akan enggak merhatiin kita di depa untung hp sudah di duit ini duluan saran deh buat mas mbak spg nya di tambah lagi tahu hp yang mau di jual ke custumernya padahal tempat sudah nyaman enggak parkir pula;negative
Beli hape disini murmer, pelayanan oke, rekomendasi bagi kamu yg cari hp murah. Banyak varian type merk. Parkir luas. Dan gratis.;beli hape sini murah riah layan oke rekomendasi bagi kamu yang cari hp murah banyak varian type merk parkir luas dan gratis;positive
Bisa cash dan kredit sales counter cantik cantik juga ramah;bisa cash dan kredit sales counter cantik cantik juga ramah;neutral
Bs kredit;bisa kredit;neutral
Sangat maksimal,dan terpercaya;sangat maksimal dan percaya;positive
toko handphone yang satu ini berkonsep modern dan berkelas,lokasi berada di jalan kawi bersebelahan dengan mall olimpic garden.tempat sangat terlihat premium dan nyaman pelayanan dari pegawai toko ramah dan bersahabat.tempat parkir sangat luas sekali dan gratis;toko handphone yang satu ini konsep modern dan kelas lokasi ada di jalan kawi bahan dengan mal olimpic garden tempat sangat lihat premium dan nyaman layan dari pegawai toko ramah dan sahabat tempat parkir sangat luas sekali dan gratis;positive
Lengkap, nyaman, murah;lengkap nyaman murah;positive
Parkiran luas;parkir luas;positive
Murah & tempat nyaman;murah tempat nyaman;positive
Pelayanannya excellent;pelayananya excelent;neutral
Murah;murah;positive
Recomended;recomended;neutral
Lengkap pelayanan bagus, fasilitas parkir luas. Modern. Bs pakai credit card;lengkap layan bagus fasilitas parkir luas modern bisa pakai credit card;positive
Lengkap koleksi hpnya;lengkap koleksi hpnya;neutral
Great;great;positive
Dengan lokasi yang bukan ditepi jalan utama membuat tempat ini enak untuk menenangkan diri dari keramaian.;dengan lokasi yang bukan tepi jalan utama buat tempat ini enak untuk tenang diri dari ramai;positive
Tempat yang bagus;tempat yang bagus;positive
Lokasi strategis, parkir luas;lokasi strategis parkir luas;positive
Toko Hape Tiga Putra Kawi adalah rukukan terbaik anda yg ingin membeli hape dg harga terbaik dan terjangkau... Pemilik Tiga Putra Kawi sangat peduli dg kegiatan muda mudi Malang Raya terutama kegiatan kesenian dan kebudayaannya..diwujudkan dalam acara OPPO Dance Competition 2018..;toko hape tiga putra kawi adalah ruku baik anda yang ingin beli hape dengan harga baik dan jangkau milik tiga putra kawi sangat peduli dengan giat muda mud malang raya utama giat seni dan kebudayaanya wujud dalam acara opo dance competition;positive
Beli hape disini saja;beli hape sini saja;neutral
Tempat nyaman, belanja senang, pramuniaga familiar...jadi betah belanja hp di sini;tempat nyaman belanja senang pramuniaga familiar jadi betah belanja hp di sini;positive
Hp murah di malang;hp murah di malang;positive
good;good;positive
Nice service. Sedikit terganggu dg SPG/SPB yg menonjol2kan suatu produk lain sementara kita sdg fokus ke suatu produk. Mungkin ini akibat sistem bonus yg diberikan oleh produsen thd SPG/SPB jika berhasil menjual produk mereka. Sementara produsen standar tdk memberi bonus. Ini bisa merusak nama baik toko. IMHO;nice service sedikit tergangu dengan spg spb yang tonjol kan suatu produk lain sementara kita sedang fokus ke suatu produk mungkin ini akibat sistem bonus yang beri oleh produsen thd spg spb jika hasil jual produk mereka sementara produsen standar tidak beri bonus ini bisa rusak nama baik toko imho;negative
pelayanan bagus, cepat dan keramahan pelayan paling utama;layan bagus cepat dan ramah layan paling utama;positive
Tempat belanja hp terlengkap dimalang, mantab pokoknya sukses terus untuk 3 putra pelayanannya ramah, mengerti tentang hp, cepat juga.;tempat belanja hp lengkap malang mantab pokok sukses terus untuk putra pelayananya ramah erti tentang hp cepat juga;positive
Keluhan soal warna hp samsung j6 , saya kepingin warna biru, katanya spg ,samsung j6 ada warna biru, tp setelah dibayar dan dibuka saya kecewa karena setelah dibuka kok warnanya ungu, untuk spg mohon lebih teliti lagi;keluh soal warna hp samsung saja saya pengin warna biru kata spg samsung saja ada warna biru tapi telah bayar dan buka saya kecewa karena telah buka kok warna ungu untuk spg mohon lebih teliti lagi;negative
Tiga putra HP center kawi pelayanan prima;tiga putra hp center kawi layan prima;positive
Baik pelayanannya ramah,bagus tempatnya;baik pelayananya ramah bagus tempat;positive
Nyaman sayang tidak lengkap;nyaman sayang tidak lengkap;negative
Pelayananx mantul...mbakx ramah...suarax lembut banget maux lama2 aj d sini....n penjelasanx lengkap n detail banget ....;pelayananx mantul mbak ramah suarax lembut banget maux lama saja di sini penjelasanx lengkap detail banget;positive
Bagus deh pelayanannya;bagus deh pelayananya;positive
Tempatnya strategis bisa dilihat kendaraan umum... sip dah;tempat strategis bisa lihat kendara umum sip deh;positive
Good and nice service. God job Tiga Putra.;good and nice service god job tiga putra;positive
Pelayanan sangat baaiikkk sekali;layan sangat baaiik sekali;neutral
Good place for gadget and Aice ice cream;good place for gadget and aice ice cream;positive
Ramah dan nyaman . Hehehe;ramah dan nyaman hehehe;positive
Pelayanannya baik;pelayananya baik;positive
Harganya kalau bisa lebih murah lagi;harga kalau bisa lebih murah lagi;positive
Pelayanannya memuaskan, dan rekomend banget buat beli Hp;pelayananya muas dan rekomend banget buat beli hp;positive
Pelayanan nya sangat memuaskan;layan nya sangat muas;positive
Tempat belanja hp dan aksesorie yang cukul lengkap di malang kota serta tempat yang sangat nyaman di tambah lagi parkiran yang luas dan gratis yang sudah di jaga dengan aman oleh satpam yang bertugas. Selain itu harganya juga relatif lebih murah di bandingkan toko-toko yang lain yang ada di kota malang.;tempat belanja hp dan aksesorie yang cukul lengkap di malang kota serta tempat yang sangat nyaman di tambah lagi parkir yang luas dan gratis yang sudah di jaga dengan aman oleh satpam yang tugas selain itu harga juga relatif lebih murah di banding toko toko yang lain yang ada di kota malang;positive
Pelayanan cepet dan pelayanan ramah;layan cepat dan layan ramah;positive
servis bagus, cuma harga lebih mahal;servis bagus cuma harga lebih mahal;neutral
Harga dan pelayanan memuaskan;harga dan layan muas;positive
Ok barang ada;ok barang ada;positive
Pelayanan disini sangat bagus,dan harga cukup bersaing dengan konter lain;layan sini sangat bagus dan harga cukup saing dengan konter lain;positive
sangat baikk;sangat baik;neutral
Pelayanan yang sangat baik, harga bersaing lebih murah dari toko yang lain. Fasilitas konsumen yang memadai. Happy dan nyaman belanja hp di tiga putra;layan yang sangat baik harga saing lebih murah dari toko yang lain fasilitas konsumen yang pada hapy dan nyaman belanja hp di tiga putra;positive
Lokasi strategis, tempat nya nyaman,, mbak dan mas ramah2 banget,,, penjelasan produk rinci dan mudah dipahami;lokasi strategis tempat nya nyaman mbak dan mas ramah banget jelas produk rinci dan mudah paham;positive
Pelayanan baik. Pegawainya ramah, cepat juga. Kalo beli hp selalu disini, dan kualitas ga pernah bikin kecewa;layan baik pegawai ramah cepat juga kalo beli hp selalu sini dan kualitas enggak pernah bikin kecewa;positive
Spesifikasi bgus tapi sayang sekali hansetnya gak ada;spesifikasi bagus tapi sayang sekali hansetnya enggak ada;positive
Semoga tiga putra lebih sukses kedepannya :);moga tiga putra lebih sukses depa;positive
Petugasnya ramah bersahabat.pelayanan customer ok.pertahankan dan tingkatkan di masa mendatang.sukses selalu tiga putra kawi official;tugas ramah sahabat layan customer ok tahan dan tingkat di masa datang sukses selalu tiga putra kawi oficial;positive
Cukup bagus;cukup bagus;neutral
Harga mahal;harga mahal;negative
Tokonya strategis, mudah ditemukan, pelayanan cepat, pegawainya antusias, produknya banyak, dapat melakukan pembayaran dg berbagai cara, pilihan terbaik untuk komunikasi Anda;toko strategis mudah temu layan cepat pegawai antusias produk banyak dapat laku bayar dengan bagai cara pilih baik untuk komunikasi anda;positive
hati2 berbelanja di toko ini.bnyk tipu2;hati belanja di toko ini banyak tipu;negative
Staff ramah dan telaten;staf ramah dan telaten;positive
Pelayanannya bagus, tempatnya juga strategis;pelayananya bagus tempat juga strategis;positive
Pelayaran yang baik dan memuaskan;layar yang baik dan muas;positive
Pelayanan di tiga putra sangat nyaman, baik, ramah, cepat dan saya merasa puas dengan pelayanan ini. Bagi warga sekitar pengen hp murah dan berkualitas datang aja langsung ke tiga putra oke. Tidak sampai 20 menit udah dapat nih hp impian anda;layan di tiga putra sangat nyaman baik ramah cepat dan saya rasa puas dengan layan ini bagi warga sekitar pengin hp murah dan kualitas datang saja langsung ke tiga putra oke tidak sampai menit sudah dapat nih hp impi anda;positive
"Pelayanan gak banget Pegawai pada ngerumpi mesti Cara mereka nge treat gak enak banget Saya ke sana liat liat, mau beli hape masih seragaman sekolah mbaknya jutek, waktu saya liat brosur diusir secara halus ""mas, brosurnya bisa dibaca dirumah"" Begitu saya dateng sama orang tua bisa bagai raja. Mending beli di mall sebelah aja, pelayanan dapet pilihan lengkap.";layan enggak banget pegawai pada ngerumpi mesti cara mereka nge treat enggak enak banget saya ke sana lihat lihat mau beli hape masih seragam sekolah mbak jutek waktu saya lihat brosur usir cara halus mas brosur bisa baca rumah begitu saya datang sama orang tua bisa bagai raja mending beli di mal belah saja layan dapat pilih lengkap;positive
Lumayan lengkap;lumayan lengkap;positive
Nyaman buat belanja hp, parkir luas.;nyaman buat belanja hp parkir luas;positive
Pelayanannya bagus trs juga ramah;pelayananya bagus terus juga ramah;neutral
Pelayanannya Baik;pelayananya baik;positive
Baik pelayanannya;baik pelayananya;positive
Pokoknya the best;pokok the best;neutral
Harga kalah bersaing dengan yang lain;harga kalah saing dengan yang lain;negative
"Pelayanannya bagus. Pegawainya ramah""";pelayananya bagus pegawai ramah;neutral
Toko handphone terlengkap di Malang, apalagi yang garansi resmi termasuk cepat masuk di sini setelah toko online. Harga bersaing.;toko handphone lengkap di malang apalagi yang garansi resmi masuk cepat masuk di sini telah toko online harga saing;positive
Sangat baik;sangat baik;neutral
Good place Good service;good place good service;positive
Pelayanan rama n harga juga terjangkau;layan rama harga juga jangkau;positive
Tempat sangat nyaman dan besar , accessories lengkap dan di jamin asli , yuk gaes datang ke tigaputra;tempat sangat nyaman dan besar acesories lengkap dan di jamin asli yuk gaes datang ke tigaputra;positive
Untuk pelindung hapenya di lengkapi bukan cuma tamper glass aja. Tapi silikon tebal hape juga di sediakan;untuk lindung hapenya di lengkap bukan cuma tamper glas saja tapi silikon tebal hape juga di sedia;positive
Beli hp Oppo F7 dengan pilihan warna yang saat itu kosong, lalu dengan ramahnya menawarkan inden dulu sehari. Lalu besoknya dikabari kalo barang uda datang, alhasil dapat dehh.. Utk pembayarannya bisa pakai kartu kredit dan bisa cicilan 0%, saat itu pembeliannya via Blibli. Hanya saja display nya kurang banyak.;beli hp opo dengan pilih warna yang saat itu kosong lalu dengan ramah tawar inden dulu hari lalu besok kabar kalo barang sudah datang alhasil dapat deh untuk pembayaranya bisa pakai kartu kredit dan bisa cicil saat itu belia via blibli hanya saja display nya kurang banyak;positive
Parkir luas dan gratis, pramuniaga nya ramah dan tanggap. Pelayanan prima. Kualitas handphone juga bagus banget dibanding tempat lain;parkir luas dan gratis pramuniaga nya ramah dan tangap layan prima kualitas handphone juga bagus banget banding tempat lain;positive
Ramah dan lengkap.;ramah dan lengkap;positive
Pelayanan lumayan bagus;layan lumayan bagus;neutral
Kemarin ke tiga putra, tgl 17 Juli 2018. niatnya mau beli Xiaomi redmi note 5 ato S2. Cus ke sana gara gara malemnya lihat ada promo Reno 5 di Instagram. Pas di sana, mbaknya bilang harganya naik 100 RB. Ok lah, GPP. Aku lgsung minta barangnya dan mau bayar. Tapi terus aku tanya soal S2. Harganya lumayan miring dibanding toko lain. Eh tapi malah mbaknya nawarin produk lain yg aku SM skli gak tau. Mbaknya ngomong terus. Ada 30 menit. Aku biasa aja gk tertarik. Tetep kekeuh pengen beli Reno 5 ato S2. Eh gak tau knp, aku akhirnya malah beli produk lain itu. Padahal ya harganya gak murah juga. Lumayan lah, 2.4. Pas bgt mbaknya buka segel hp itu, aku buka wa d hp ku yg lama dan ada wa dr tiga putra. Bilang kalo Reno 5 gak ada d tiga putra. Jadi sebelum kesana, malemnya aku wa dulu. Dan baru di bales siang waktu aku udah terlanjur beli hp itu. Pas pulang, aku nyesel udah beli produk itu. Aku coba balik k tiga putra, mau tuker ato gimana lah. Pokoknya gk mau hp itu. Eh ternyata gak bisa. Mau tukar tambah, mau dibalikin, gk bisa pokoknya. Jelas lah aku ngerasa ketipu. Lha di Instagram bilang ada. Pas kesana ya bilang ada. Tp yg aku tanya d wa, jawabnya gak ada. Lah gimana coba. Pantesan waktu aku udah deal reno 5, mbaknya malah mengalihkan k lainnya. Lha wong barangnya gak ada. Akhitnya aku tuker tambah hp itu d tempat lain. Ruginya lumayan, 600 RB. Wes pokoknya kapok, gk bakal kesana lagi.;kemarin ke tiga putra tanggal juli niat mau beli xiaomi redmi note atau si cus ke sana gara gara malemnya lihat ada promo reno di instagram pas di sana mbak bilang harga naik ribu ok lah gp aku langsung minta barang dan mau bayar tapi terus aku tanya soal si harga lumayan miring banding toko lain eh tapi malah mbak tawar produk lain yang aku sama sekali enggak tau mbak omong terus ada menit aku biasa saja enggak tarik tetap kekeuh pengin beli reno atau si eh enggak tau kenapa aku akhir malah beli produk lain itu padahal ya harga enggak murah juga lumayan lah pas banget mbak buka segel hp itu aku buka wa di hp ku yang lama dan ada wa dari tiga putra bilang kalo reno enggak ada di tiga putra jadi belum kesana malemnya aku wa dulu dan baru di balas siang waktu aku sudah lanjur beli hp itu pas pulang aku sesal sudah beli produk itu aku coba balik ke tiga putra mau tuker atau bagaimana lah pokok enggak mau hp itu eh nyata enggak bisa mau tukar tambah mau dibalikin enggak bisa pokok jelas lah aku rasa tipu lah di instagram bilang ada pas kesana ya bilang ada tapi yang aku tanya di wa jawab enggak ada lah bagaimana coba pantesan waktu aku sudah deal reno mbak malah alih ke lai lah wong barang enggak ada akhitnya aku tuker tambah hp itu di tempat lain rugi lumayan ribu wes pokok kapok enggak bakal kesana lagi;negative
Semua OK.. stok Memory ditambah ...;semua ok stok memory tambah;positive
Ayu good service;ayu good service;positive
Ramah, humble, fast for service and all...;ramah humble fast for service and al;positive
Good enough;good enough;neutral
Feel good;feel good;neutral
Puas;puas;neutral
Tempatnya mudah dijangkau Produk2 mobile lengkap dsini;tempat mudah jangkau produk mobile lengkap sini;positive
Tempatnya nyaman, pelayanannya cepat. Customer yg ramah2 juga.;tempat nyaman pelayananya cepat customer yang ramah juga;positive
Pelayan baik sekali;layan baik sekali;positive
Pelayanan yang memuaskan;layan yang muas;positive
Bagus memuaskan;bagus muas;positive
Pelayanannya puas;pelayananya puas;positive
Senang berbelanja di tiga putra, petugasnya ramah dan harganya murah;senang belanja di tiga putra tugas ramah dan harga murah;positive
Tempatnya rekom bgt buat beli handphone...pegawainya ramah2;tempat rekom banget buat beli handphone pegawai ramah;neutral
Saya beli redmi 5A sampek 4 buah;saya beli redmi sampai buah;neutral
Fast service and good price for gadget.;fast service and good price for gadget;positive
Pelayanan sudah excellent.;layan sudah excelent;positive
Servis kosumen memuaskan. Thask;servis kosumen muas thask;positive
Tiga putra toko terlengkap dan termurah, dan saya dilayani dengan sangat baik dan ramah dengan mbak nun , saya akan kembali lagi untuk belanja HP disini;tiga putra toko lengkap dan murah dan saya layan dengan sangat baik dan ramah dengan mbak nun saya akan kembali lagi untuk belanja hp sini;positive
Pelayanan terbaik semalang raya , harga asus murah dan promotornya baik dan ramah :);layan baik malang raya harga asus murah dan promotor baik dan ramah;positive
Pelayanan prima dan menyenangkan terutama pelayanan mbak Oktavin Ayu Carlina;layan prima dan senang utama layan mbak oktavin ayu carlina;positive
Pelayanan baik, Karyawan Ramah, terimakasih tiga putra;layan baik karyawan ramah terimakasih tiga putra;positive
Bagus, dan lengkap;bagus dan lengkap;positive
Untuk layanan konsumen bagus;untuk layan konsumen bagus;positive
Alhamdulillah.. nyaman dan ramah pelayanannya. Semoga semakin lebih baik.;alhamdulilah nyaman dan ramah pelayananya moga makin lebih baik;positive
Bagus. Harganya stabil.;bagus harga stabil;positive
Pelayananya memuaskan. . Terimakasih;pelayananya muas terimakasih;positive
Pelayan ramah dan cepat, mungkin bisa ditingkatkan untuk konsultasi smartphone sesuai dengan budget pembeli;layan ramah dan cepat mungkin bisa tingkat untuk konsultasi smartphone sesuai dengan budget beli;positive
Trma ksh... Pelayanan prima siip tenan.;trma kasih layan prima sip tenan;positive
Acc nya kurang lengkap;ac nya kurang lengkap;negative
Pelayanan baik mbak nya ramah;layan baik mbak nya ramah;positive
Cukup memuaskan..;cukup muas;neutral
Pelayan baik..;layan baik;positive
Nice jobs;nice jobs;neutral
Pelayanan sangat baik Penjelasan cukup baik dan ramah;layan sangat baik jelas cukup baik dan ramah;positive
Pelayanan nya cepat dam ramah;layan nya cepat dam ramah;positive
Lengkap, terpercaya;lengkap percaya;positive
Very Good;very good;positive
Pelayanan ramah, barang bagus.;layan ramah barang bagus;positive
Pelayan nya sangat baik dan jelas;layan nya sangat baik dan jelas;neutral
Gud place for u'r phone cell;gud place for lu phone cel;neutral
Pelayanannya oke;pelayananya oke;positive
pelayanan yang sangat membantu dan sangat memuaskan;layan yang sangat bantu dan sangat muas;positive
Harganya lumayan bersaing (murah);harga lumayan saing murah;neutral
Karyawannya baik2;karyawanya baik;neutral
Mbk nya baik ramah sopan nyaman abis;mbak nya baik ramah sopan nyaman habis;positive
Trimakasih untuk layanannya,,, recomend bgt;trimakasih untuk layananya recomend banget;positive
Pelayanan ramah dan harga murah;layan ramah dan harga murah;positive
Pelayanan ramah... Harga lumayan sama kyk online shop. . Beda dikit;layan ramah harga lumayan sama kayak online shop beda dikit;positive
